"[-0.10181212098978878,0.62411822512323]",18
"[0.18241222361270948,0.07674971958733628]",3
"[0.15019425448059706,0.12152197482424744]",4
"[0.2969895099319311,0.15991764989475488]",4
"[-0.24624608288689395,0.28808129738808935]",17
"[0.031200379041931806,0.26827850517981466]",0
"[0.25486853928900094,0.1022050758007596]",3
"[0.012964620795915434,0.09283830521114983]",15
"[-0.09600925270004038,0.33570038411392367]",17
"[0.2518154400455987,0.2314492664616628]",3
"[-0.016131943318324626,0.34003833742551637]",8
"[0.1187486367282491,0.1999053563563107]",0
"[0.02941322553501108,0.6010346652167136]",18
"[0.0170495296251507,-0.08536527084577361]",15
"[-0.03583579534826781,1.0644926602178313]",18
"[0.4782605917318013,0.4985927110076163]",2
"[0.432117815049631,0.4250950033306484]",2
"[-0.013252404296668713,0.17479347301056455]",17
"[0.11185415794887446,0.11551558493691166]",15
"[0.1975822516516874,0.13404992775316593]",3
"[0.018004476557073275,0.1581401379096094]",15
"[0.32952099100781884,0.19110372645949866]",4
"[0.3312414210971936,0.1271690766270398]",15
"[-0.02302921256625662,0.19904838231243874]",17
"[0.30797250389761066,0.16835487860987366]",7
"[0.12427689055614492,0.21688483890023125]",15
"[0.2902345470040887,0.18599594937456954]",3
"[0.23185507881450101,0.2170507530260826]",7
"[0.02265274059267572,0.3089908750608974]",8
"[0.5425953377252772,0.356134467254051]",2
"[0.048432799671897286,0.44677480001514264]",0
"[0.10514104066822902,0.3199258712735511]",7
"[0.46358168400964517,0.058987296853437884]",7
"[-0.03129081603573705,0.3521275608814109]",8
"[0.3056064814625548,0.2857972034960146]",2
"[0.22540200719237377,0.18498551770411045]",7
"[0.01895147419115193,-0.02137658060441756]",15
"[0.10148919151486893,0.11353030138815551]",4
"[0.06432784204502384,0.17522293930336366]",0
"[0.06574079339008203,0.03222331711595927]",15
"[-0.039262787351122624,0.2280686240584252]",1
"[0.018887000504807516,0.6880891117323699]",18
"[0.30033440990609694,0.15431636653126424]",4
"[0.1312401779718878,-0.0031179403583876525]",4
"[0.07220671907092115,0.26340910687671787]",5
"[0.28242969676131585,0.44271259004753694]",2
"[-0.04489346770353815,0.07688059128517365]",15
"[0.1989549060802515,-0.05018850650211289]",11
"[0.08934955888421256,0.3158889736775753]",0
"[0.3531714761667293,0.05750680266781869]",4
"[-0.15057498003374573,0.19057031377951794]",1
"[0.09652745836666923,0.5497443109021913]",18
"[-0.390012685672045,0.6404244576989297]",10
"[-0.20686890562782298,-0.04140107273798449]",1
"[-0.2084761708344256,0.15722627736683847]",17
"[-0.2357522776673616,0.15112637290237074]",1
"[-0.15278813515094192,0.5917591781874573]",5
"[0.12815624548903826,0.21335176128831376]",7
"[-0.10878467676493106,0.31968049862936837]",15
"[0.01797444906195665,0.33833380433990834]",7
"[-0.06364372370152091,0.48083714916844617]",0
"[0.04364034055679844,0.6188176348578204]",18
"[-0.06134223516999646,0.16007620269444803]",11
"[0.04725641379041494,0.41489348556442696]",0
"[0.014346546979114236,0.17965129222368165]",11
"[0.0427681333114476,-0.07015912041463988]",11
"[0.0010471026576697809,-0.026272107615186165]",11
"[-0.008510039336781617,0.2351330304311099]",5
"[0.3348984101887412,0.4567096426625484]",2
